"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
14,10,2,"victim",0,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,2,1,"outgroup",1,0,0,0,1,3,-3,12,3
15,1,2,"victim",0,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,2,2,"ingroup",0,0,0,1,1,2,-9,18,9
15,2,2,"victim",0,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,2,2,"ingroup",0,0,0,1,1,2,-9,18,9
15,3,1,"victim",0,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,3,2,"control",0,1,0,,1,1,-9,18,9
15,4,1,"victim",0,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,1,2,"outgroup",1,0,0,0,1,3,-9,18,9
15,4,2,"victim",0,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,2,2,"ingroup",0,0,0,1,1,3,-9,18,9
15,6,1,"observer",1,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,2,2,"ingroup",0,0,0,1,1,1,-9,18,9
15,7,1,"observer",1,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,1,2,"outgroup",1,0,0,0,1,1,-9,18,9
15,8,2,"observer",1,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,3,2,"control",0,1,0,,1,2,-9,18,9
15,9,2,"observer",1,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,3,1,"control",0,1,1,,1,2,-9,18,9
